gene_name	gene_claim_name	entrez_id	interaction_claim_source	interaction_types	drug_claim_name	drug_claim_primary_name	drug_name	drug_chembl_id	PMIDs
ACTC1	ACTC1	70	NCI		GLUCOCORTICOID	GLUCOCORTICOID			15988617
BTK	1948	695	GuideToPharmacologyInteractions	inhibitor	9264	CGI560			
KCNJ14	433	3770	GuideToPharmacologyInteractions	gating inhibitor	2346	H+	GADOBENATE DIMEGLUMINE	CHEMBL1200571	
	NOL1		NCI		PHOSPHATE BUFFER	PHOSPHATE BUFFER			9773962
CPT1B	TTDS00433	1375	TTD	inhibitor	DAP000957	PERHEXILINE	PERHEXILINE	CHEMBL75880	
PDE8A	PDE8A	5151	ChemblInteractions	inhibitor	CHEMBL1200875	FLAVOXATE HYDROCHLORIDE	FLAVOXATE HYDROCHLORIDE	CHEMBL1200875	
GABRA1	P14867	2554	TdgClinicalTrial		METHOHEXITAL	METHOHEXITAL	METHOHEXITAL	CHEMBL7413	
ABCB4	TTDS00255	5244	TTD	modulator	DCL000298	VALSPODAR	VALSPODAR	CHEMBL1086218	
HTR1D	3	3352	GuideToPharmacologyInteractions	agonist	110	CP-122288	CHEMBL159332	CHEMBL159332	
ADRA1A	P35348	148	TEND		CARVEDILOL	CARVEDILOL	CARVEDILOL	CHEMBL723	
SSTR5	359	6755	GuideToPharmacologyInteractions	agonist	2064	[111IN]DOTA-NOC-ATE			
OPRK1	318	4986	GuideToPharmacologyInteractions	agonist	7221	PETHIDINE			
ROS1	ROS1	6098	CKB		AP26113	AP26113	BRIGATINIB	CHEMBL3545311	27780853
TPM3	TPM3	7170	NCI		UVB	UVB			9270028
MAOB	MAOB	4129	NCI		HALOPERIDOL	HALOPERIDOL	HALOPERIDOL	CHEMBL54	7617809
RUNX1	RUNX1	861	NCI		GLEEVEC	GLEEVEC			15650049
CCR4	TTDC00226	1233	TTD	antibody	DCL000427	AMG 761	AMG-761	CHEMBL2109340	
REN	P00797	5972	TdgClinicalTrial		SPP676	SPP676			
KIT	KIT	3815	CKB		BGJ398	BGJ398	INFIGRATINIB	CHEMBL1852688	25673643
GPR55	109	9290	GuideToPharmacologyInteractions	agonist	5564	CID1172084	CHEMBL1718432	CHEMBL1718432	
CYP3A43	CYP3A43	64816	NCI		POMEGRANATE JUICE	POMEGRANATE JUICE			15673597
GRIN2B	NMDAR2B	2904	ChemblInteractions		CHEMBL1699	MEMANTINE HYDROCHLORIDE	MEMANTINE HYDROCHLORIDE	CHEMBL1699	
NR3C1	GRL	2908	ChemblInteractions	agonist	CHEMBL1451	TRIAMCINOLONE	TRIAMCINOLONE	CHEMBL1451	
MS4A1	CD20	931	ChemblInteractions	inhibitor	CHEMBL1743048	OBINUTUZUMAB	OBINUTUZUMAB	CHEMBL1743048	
ENG	P17813	2022	TdgClinicalTrial		TRC105	TRC105	TRC-105	CHEMBL2109321	
TGM2	TGM2	7052	NCI		4-HYDROPEROXYCYCLOPHOSPHAMIDE	4-HYDROPEROXYCYCLOPHOSPHAMIDE	PERFOSFAMIDE	CHEMBL61511	8828830
TGFB2	TGFB2	7042	ChemblInteractions	inhibitor	CHEMBL1743022	FRESOLIMUMAB	FRESOLIMUMAB	CHEMBL1743022	
FGFR2	BEK	2263	ChemblInteractions	inhibitor	CHEMBL3039504	NINTEDANIB ESYLATE	NINTEDANIB ESYLATE	CHEMBL3039504	
ABCC8	HRINS	6833	ChemblInteractions	blocker	CHEMBL472	GLYBURIDE	GLYBURIDE	CHEMBL472	
DHODH	Q02127	1723	TdgClinicalTrial		TERIFLUNOMIDE	TERIFLUNOMIDE	TERIFLUNOMIDE	CHEMBL973	
SMPD4	TTDC00057	55627	TTD	inhibitor	DCL000176	ND1251	CHEMBL2088034	CHEMBL2088034	
DRD3	216	1814	GuideToPharmacologyInteractions	antagonist	6674	NGB 2904	CHEMBL2397386	CHEMBL2397386	
KCNA2	KCNA2	3737	ChemblInteractions	blocker	CHEMBL1200728	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE	CHEMBL1200728	
ITGB2	ITGB2	3689	NCI		SODIUM BUTYRATE	SODIUM BUTYRATE	SODIUM BUTYRATE	CHEMBL62381	7905674
HTR1D	P28221	3352	TdgClinicalTrial		VR-147	VR-147			
HDAC6	2618	10013	GuideToPharmacologyInteractions	inhibitor	7496	BELINOSTAT	BELINOSTAT	CHEMBL408513	
	709		GuideToPharmacologyInteractions	channel blocker	4182	DIPHENYLAMINE-2-CARBOXYLIC ACID	FENAMIC ACID	CHEMBL23832	
ADH1C	ADH1C	126	NCI		RETINOIC ACID	RETINOIC ACID	TRETINOIN	CHEMBL38	11959987
PRL	PRL	5617	NCI		PROTEIN KINASE C INHIBITOR	PROTEIN KINASE C INHIBITOR			7693565,9818729
PDE4B	1301	5142	GuideToPharmacologyInteractions	inhibitor	5258	RO20-1724	SODIUM PHENYLBUTYRATE	CHEMBL1746	
INSR	INSR	3643	ChemblInteractions	agonist	CHEMBL1201541	INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF	INSULIN SUSP PROTAMINE ZINC PURIFIED BEEF	CHEMBL1201541	
SCN1A	NAC1	6323	ChemblInteractions	blocker	CHEMBL1200464	PROPARACAINE HYDROCHLORIDE	PROPARACAINE HYDROCHLORIDE	CHEMBL1200464	
	TTDS00039		TTD	inhibitor	DAP000621	FLURBIPROFEN			
	TTDS00019		TTD	modulator	DPR000160	TPT-43			
BRAF	BRAF	673	CKB		DHM25	DHM25			26237138
ELANE	ELA2	1991	NCI		NICOTINE	NICOTINE	NICOTINE	CHEMBL3	8912774
OPRL1	320	4987	GuideToPharmacologyInteractions	agonist	1689	[ARG14LYS15]N/OFQ			
CNR1	56	1268	GuideToPharmacologyInteractions	allosteric modulator	4150	CANNABIDIOL	CANNABIDIOL	CHEMBL190461	
	AURORA		TALC	inhibitor	XL228	XL228	XL-228	CHEMBL3545085	
F2R	F2R	2149	NCI		DALTEPARIN	DALTEPARIN	DALTEPARIN SODIUM	CHEMBL1201460	12632026
CHRM1	P11229	1128	TEND		ETHOPROPAZINE	ETHOPROPAZINE	ETHOPROPAZINE	CHEMBL1206	
	TTDS00026		TTD	antagonist	DAP000298	DAPIPRAZOLE	DAPIPRAZOLE	CHEMBL1201216	
JAK1	JAK1	3716	CGI		Ruxolitinib	Ruxolitinib	RUXOLITINIB	CHEMBL1789941	18805579,22955920
ERBB2	ERBB2	2064	CKB		Hertuzumab-vc-MMAE	Hertuzumab-vc-MMAE			27509865
NPY5R	NPYR5	4889	ChemblInteractions	antagonist	CHEMBL3545038	S-237648	S-237648	CHEMBL3545038	
OPRK1	OPRK	4986	ChemblInteractions	partial agonist	CHEMBL299400	BUTORPHANOL TARTRATE	BUTORPHANOL TARTRATE	CHEMBL299400	
GHRL	Q9UBU3	51738	TdgClinicalTrial		CYT-009-GHRQB	CYT-009-GHRQB	LORAZEPAM	CHEMBL580	
PRL	PRL	5617	NCI		BUPROPION HCL	BUPROPION HCL	BUPROPION HYDROCHLORIDE	CHEMBL1698	6124859
OPRD1	317	4985	GuideToPharmacologyInteractions	agonist	1607	DADLE	DADLE	CHEMBL340032	
CYP17A1	CYP17A1	1586	CancerCommons	inhibitor	ORTERONEL	ORTERONEL	ORTERONEL	CHEMBL1921976	
EDNRA	TTDS00198	1909	TTD	antagonist	DCL000593	PF-1228305	SITAXENTAN SODIUM	CHEMBL2105740	
KRAS	KRAS	3845	CIViC		RAF265	RAF265	CHIR-265	CHEMBL558752	25199829
ABL1	ABL	25	ChemblInteractions	inhibitor	CHEMBL1642	IMATINIB MESYLATE	IMATINIB MESYLATE	CHEMBL1642	
	TTDS00001		TTD	binder	DAP000836	TRIDIHEXETHYL	TRIDIHEXETHYL	CHEMBL1201354	
SLC25A1	1051	6576	GuideToPharmacologyInteractions	inhibitor	4701	1,2,3-BENZENETRICARBOXYLIC ACID	CHEMBL1161013	CHEMBL1161013	
TRPC5	490	7224	GuideToPharmacologyInteractions	activator	1056	ROSIGLITAZONE	ROSIGLITAZONE	CHEMBL121	
STS	STS	412	NCI		ESTRONE	ESTRONE	ESTRONE	CHEMBL1405	2796962,6581863
CDK5	CDKN5	1020	ChemblInteractions	inhibitor	CHEMBL14762	SELICICLIB	SELICICLIB	CHEMBL14762	
JAK1	JAK1	3716	DoCM		RUXOLITINIB	RUXOLITINIB	RUXOLITINIB	CHEMBL1789941	22955920
	TTDS00038		TTD	inhibitor	DAP001153	TRIMIPRAMINE	TRIMIPRAMINE	CHEMBL644	
KRAS	KRAS	3845	CKB		RO4987655	RO4987655	Ro-4987655	CHEMBL1614766	26438159,24947927
SMO	SMO	6608	CKB		Taladegib	Taladegib	TALADEGIB	CHEMBL2142592	25759019
GLP1R	GLP1R	2740	ChemblInteractions	agonist	CHEMBL2107841	ALBIGLUTIDE	ALBIGLUTIDE	CHEMBL2107841	
PSMB2	PSMB2	5690	ChemblInteractions	inhibitor	CHEMBL325041	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
ELANE	P08246	1991	TdgClinicalTrial		DERMOLASTIN	DERMOLASTIN	CHEMBL27885	CHEMBL27885	
SLC2A4	SLC2A4	6517	NCI		STREPTOZOTOCIN	STREPTOZOTOCIN	STREPTOZOTOCIN	CHEMBL1651906	10098523,9421368
HRH3	Q9Y5N1	11255	TdgClinicalTrial		APD916	APD916			
	293		GuideToPharmacologyInteractions	allosteric modulator	6448	COMPOUND 8 [PMID: 15482908]	CHEMBL187107	CHEMBL187107	
IDH1	IDH1	3417	CKB		AG-120	AG-120			25583779
NRAS	2823	4893	GuideToPharmacologyInteractions	inhibitor	8024	LONAFARNIB	LONAFARNIB	CHEMBL298734	
BRS3	40	680	GuideToPharmacologyInteractions	agonist	6192	PHENYLACETYL-ALA,DTRP-PHENTHYLAMIDE			
TRPV1	507	7442	GuideToPharmacologyInteractions	channel blocker	4309	SB366791	CHEMBL122413	CHEMBL122413	
SLC47A1	1216	55244	GuideToPharmacologyInteractions	inhibitor	1231	CIMETIDINE	CIMETIDINE	CHEMBL30	
GPR35	102	2859	GuideToPharmacologyInteractions	agonist	2920	PAMOIC ACID	PAMOIC ACID	CHEMBL177880	
AURKB	AURORA B	9212	TALC	inhibitor	GSK1070916	GSK1070916	GSK-1070916	CHEMBL1090479	
PDE8B	PDE8B	8622	ChemblInteractions	inhibitor	CHEMBL932	DIPYRIDAMOLE	DIPYRIDAMOLE	CHEMBL932	
DRD2	215	1813	GuideToPharmacologyInteractions	agonist	951	7-TRANS-OH-PIPAT			
OPRD1	317	4985	GuideToPharmacologyInteractions	agonist	7221	PETHIDINE			
PLG	PLG	5340	NCI		GARLIC	GARLIC	GARLIC	CHEMBL2108463	17213677
PTGS1	1375	5742	GuideToPharmacologyInteractions	inhibitor	4194	FLURBIPROFEN	FLURBIPROFEN	CHEMBL563	
PTGS2	P35354	5743	TdgClinicalTrial		CG100649	CG100649	POLMACOXIB	CHEMBL166863	
IGF1R	P08069	3480	TdgClinicalTrial		MECASERMIN	MECASERMIN	MECASERMIN	CHEMBL1201716	
ADRA1B	ADRA1B	147	ChemblInteractions	agonist	CHEMBL1356607	NORADRENALINE	NORADRENALINE	CHEMBL1356607	
PSEN1	PSEN1	5663	TALC	inhibitor	RO 4929097	RO 4929097			
CHRM1	CHRM1	1128	ChemblInteractions	antagonist	CHEMBL2103803	DAROTROPIUM BROMIDE	DAROTROPIUM BROMIDE	CHEMBL2103803	
SCN5A	SCN5A	6331	ChemblInteractions	blocker	CHEMBL315985	ESLICARBAZEPINE	ESLICARBAZEPINE	CHEMBL315985	
PDGFRB	P09619	5159	TEND		IMATINIB	IMATINIB	IMATINIB	CHEMBL941	
S1PR2	276	9294	GuideToPharmacologyInteractions	antagonist	2917	JTE-013	CHEMBL1368758	CHEMBL1368758	
BDKRB2	P30411	624	TdgClinicalTrial		ANATIBANT	ANATIBANT	ANATIBANT	CHEMBL2107725	
HTR1A	P08908	3350	TdgClinicalTrial		LISURIDE	LISURIDE	LISURIDE	CHEMBL157138	
DRD5	P21918	1816	TdgClinicalTrial		LU AE04621	LU AE04621			
	379		GuideToPharmacologyInteractions	antagonist	4087	[3H]LY278584			
CYP1B1	1320	1545	GuideToPharmacologyInteractions	inhibitor	8748	5H3'FPE			
HLA-DRB4	P79483	3126	TdgClinicalTrial		1D09C3	1D09C3	1D09C3	CHEMBL2109518	
KDR	1813	3791	GuideToPharmacologyInteractions	inhibitor	6055	VEGF RECEPTOR 2 KINASE INHIBITOR IV	CHEMBL92461	CHEMBL92461	
ABCB1	ABCB1	5243	NCI		BIOCHANIN A	BIOCHANIN A	BIOCHANIN	CHEMBL131921	12948016
PDE1A	1294	5136	GuideToPharmacologyInteractions	inhibitor	5270	SCH51866			
KDR	P35968	3791	TdgClinicalTrial		SORAFENIB	SORAFENIB	SORAFENIB	CHEMBL1336	
MMP1	1628	4312	GuideToPharmacologyInteractions	inhibitor	8846	CGS-27023A	CGS-27023A	CHEMBL514138	
GABRA3	406	2556	GuideToPharmacologyInteractions	allosteric modulator	4095	α5IA	METHADONE	CHEMBL651	
MTNR1B	P49286	4544	TEND		MELATONIN	MELATONIN	MELATONIN	CHEMBL45	
NF1	NF1	4763	CGI		Vemurafenib	Vemurafenib	VEMURAFENIB	CHEMBL1229517	23288408,231718
PGR	P06401	5241	TEND		NORETHINDRONE	NORETHINDRONE	NORETHINDRONE	CHEMBL1162	
ADRB2	TTDS00037	154	TTD	agonist	DAP000250	BAMBUTEROL	BAMBUTEROL	CHEMBL521589	
PTGS2	P35354	5743	TdgClinicalTrial		LUMIRACOXIB	LUMIRACOXIB	LUMIRACOXIB	CHEMBL404108	
OPRK1	OPRK	4986	ChemblInteractions	agonist	CHEMBL1200543	ANILERIDINE PHOSPHATE	ANILERIDINE PHOSPHATE	CHEMBL1200543	
BDNF	BDNF	627	NCI		CETUXIMAB	CETUXIMAB	CETUXIMAB	CHEMBL1201577	16651634
JAK1	JAK1A	3716	ChemblInteractions	inhibitor	CHEMBL3301607	FILGOTINIB	FILGOTINIB	CHEMBL3301607	
HTR2C	HTR1C	3358	ChemblInteractions	agonist	CHEMBL2104991	VABICASERIN HYDROCHLORIDE	VABICASERIN HYDROCHLORIDE	CHEMBL2104991	
BRAF	BRAF	673	CKB		Pembrolizumab	Pembrolizumab	PEMBROLIZUMAB	CHEMBL3137343	26645196
HRAS	P01112	3265	TdgClinicalTrial		ISIS-2503	ISIS-2503			
TP53	TP53	7157	CKB		Etoposide	Etoposide	ETOPOSIDE	CHEMBL44657	25964101
ATM	ATM	472	CKB		Vandetanib	Vandetanib	VANDETANIB	CHEMBL24828	27683183
CA4	CA4	762	ChemblInteractions	inhibitor	CHEMBL17	DICHLORPHENAMIDE	DICHLORPHENAMIDE	CHEMBL17	
EGFR	EGFR	1956	TALC	inhibitor	NERATINIB	NERATINIB	NERATINIB	CHEMBL180022	
KCNH2	KCNH2	3757	NCI		ANXIOLYTIC	ANXIOLYTIC			16494862
HTR2C	8	3358	GuideToPharmacologyInteractions	antagonist	135	MIANSERIN	MIANSERIN	CHEMBL6437	
	345		GuideToPharmacologyInteractions	antagonist	5851	BAY-73-1449			
RAF1	RAF1	5894	CGI		U0126	U0126	U-0126	CHEMBL100473	
CACNA1G	KIAA1123	8913	ChemblInteractions	modulator	CHEMBL940	GABAPENTIN	GABAPENTIN	CHEMBL940	
ERBB4	HER4	2066	ChemblInteractions	inhibitor	CHEMBL3545154	Poziotinib	Poziotinib	CHEMBL3545154	
EEF1A1	EEF1A1	1915	NCI		PMA	PMA	PHORBOL MYRISTATE ACETATE	CHEMBL279115	9492285
HTR3A	Q13639	3359	TdgClinicalTrial		MOSAPRIDE	MOSAPRIDE	MOSAPRIDE	CHEMBL60889	
HDAC5	2660	10014	GuideToPharmacologyInteractions	inhibitor	7505	SCRIPTAID	SCRIPTAID	CHEMBL96051	
PIK3R4	PIK3R4	30849	MyCancerGenomeClinicalTrial	inhibitor	BAY80-6946	BAY80-6946	COPANLISIB	CHEMBL3218576	
HRH1	262	3269	GuideToPharmacologyInteractions	antagonist	7206	KETOTIFEN	KETOTIFEN	CHEMBL534	
P2RY1	323	5028	GuideToPharmacologyInteractions	antagonist	1728	SURAMIN	SURAMIN	CHEMBL265502	
PIK3CA	PIK3CA	5290	MyCancerGenomeClinicalTrial	inhibitor	DACTOLISIB	DACTOLISIB	DACTOLISIB	CHEMBL1879463	
GABRA2	405	2555	GuideToPharmacologyInteractions	antagonist	4197	GABAZINE	GABAZINE	CHEMBL32503	
TFAP2A	TFAP2A	7020	NCI		AMPRENAVIR	AMPRENAVIR	AMPRENAVIR	CHEMBL116	10996400
GABRB3	P28472	2562	TdgClinicalTrial		FLUDIAZEPAM	FLUDIAZEPAM	FLUDIAZEPAM	CHEMBL13291	
ERBB4	HER4	2066	ChemblInteractions	inhibitor	CHEMBL24828	VANDETANIB	VANDETANIB	CHEMBL24828	
SV2A	SV2A	9900	NCI		INSULIN	INSULIN			16306227
CA2	CA2	760	ChemblInteractions	inhibitor	CHEMBL1200814	ACETAZOLAMIDE SODIUM	ACETAZOLAMIDE SODIUM	CHEMBL1200814	
ATP1A1	833	476	GuideToPharmacologyInteractions	inhibitor	6782	DIGITOXIN	DIGITOXIN	CHEMBL254219	
ALK	ALK	238	MyCancerGenomeClinicalTrial	inhibitor	CRIZOTINIB	CRIZOTINIB	CRIZOTINIB	CHEMBL601719	
PTGIR	P43119	5739	TdgClinicalTrial		NS-304	NS-304	SELEXIPAG	CHEMBL238804	
TLR8	1758	51311	GuideToPharmacologyInteractions	agonist	5051	RESIQUIMOD	RESIQUIMOD	CHEMBL383322	
PTGS2	P35354	5743	TEND		KETOROLAC	KETOROLAC	KETOROLAC	CHEMBL469	
PIK3CD	PIK3CD	5293	ChemblInteractions	inhibitor	CHEMBL3545424	AZD-8186	AZD-8186	CHEMBL3545424	
MMP1	MMP1	4312	NCI		MEDROXYPROGESTERONE	MEDROXYPROGESTERONE	MEDROXYPROGESTERONE ACETATE	CHEMBL717	9436888
HRH1	262	3269	GuideToPharmacologyInteractions	antagonist	4819	FEXOFENADINE	FEXOFENADINE	CHEMBL914	
HTR3B	378	9177	GuideToPharmacologyInteractions	channel blocker	2366	BILOBALIDE	BILOBALIDE	CHEMBL133266	
CDKN1B	CDKN1B	1027	NCI		ALL-TRANS RETINOIC ACID	ALL-TRANS RETINOIC ACID	TRETINOIN	CHEMBL38	10837916
GRM7	295	2917	GuideToPharmacologyInteractions	allosteric modulator	6217	ADX71743			
GLP1R	TTDS00440	2740	TTD	agonist	DCL000869	LIRAGLUTIDE	LIRAGLUTIDE	CHEMBL1201866	
PPARG	NR1C3	5468	ChemblInteractions	agonist	CHEMBL186179	MURAGLITAZAR	MURAGLITAZAR	CHEMBL186179	
GDNF	GDNF	2668	NCI		ETHANOL	ETHANOL	ALCOHOL	CHEMBL545	10550003
HRH1	P35367	3269	TEND		BUCLIZINE	BUCLIZINE	BUCLIZINE	CHEMBL1201271	
MTOR	MTOR	2475	TALC	inhibitor	AZD 8055	AZD 8055	AZD-8055	CHEMBL1801204	
KRAS	KRAS	3845	CKB		TVB-2640	TVB-2640			
VDR	NR1I1	7421	ChemblInteractions	agonist	CHEMBL1200666	CALCIPOTRIENE	CALCIPOTRIENE	CHEMBL1200666	
NTSR1	309	4923	GuideToPharmacologyInteractions	agonist	1571	JMV457			
SLC6A3	Q01959	6531	TdgClinicalTrial		PHENMETRAZINE	PHENMETRAZINE	PHENMETRAZINE	CHEMBL1201208	
NDUFA6	LYRM6	4700	ChemblInteractions	inhibitor	CHEMBL1703	METFORMIN HYDROCHLORIDE	METFORMIN HYDROCHLORIDE	CHEMBL1703	
SCN5A	TTDS00402	6331	TTD	blocker	DAP000518	FLECAINIDE	FLECAINIDE	CHEMBL652	
FLT3	1807	2322	GuideToPharmacologyInteractions	inhibitor	7918	NMS-P937	NMS-1286937	CHEMBL1094408	
GABRA2	405	2555	GuideToPharmacologyInteractions	allosteric modulator	566	ZN2+	ZINC ION	CHEMBL1236970	
AQP9	AQP9	366	NCI		UREA	UREA	UREA	CHEMBL985	12594337
MAP2K2	MAP2K2	5605	MyCancerGenomeClinicalTrial	inhibitor	AZD6244	AZD6244	SELUMETINIB	CHEMBL1614701	
HDAC3	HDAC3	8841	TALC	inhibitor	FK-228	FK-228	ROMIDEPSIN	CHEMBL1213490	
NRAS	NRAS	4893	CGI		Sorafenib	Sorafenib	SORAFENIB	CHEMBL1336	
PTEN	PTEN	5728	CKB		Sorafenib	Sorafenib	SORAFENIB	CHEMBL1336	27213589
NOTCH1	NOTCH1	4851	CKB		Temozolomide	Temozolomide	TEMOZOLOMIDE	CHEMBL810	27154916
DRD2	P14416	1813	TdgClinicalTrial		LU 02-750	LU 02-750			
GABRB3	GABRB3	2562	ChemblInteractions		CHEMBL220492	TOPIRAMATE	TOPIRAMATE	CHEMBL220492	
IL17F	IL17F	112744	NCI		GRANULOCYTE COLONY-STIMULATING FACTOR	GRANULOCYTE COLONY-STIMULATING FACTOR	FILGRASTIM	CHEMBL1201567	15972674
ABL1	ABL1	25	FDA		Bosutinib	Bosutinib	BOSUTINIB	CHEMBL288441	
PROC	P04070	5624	TdgClinicalTrial		SODIUM TETRADECYL SULFATE	SODIUM TETRADECYL SULFATE	SODIUM TETRADECYL SULFATE	CHEMBL1200354	
RAMP2	O60895	10266	TEND		PRAMLINTIDE	PRAMLINTIDE	PRAMLINTIDE	CHEMBL2103758	
ERBB2	ERBB2	2064	CKB		HER2 Vaccine	HER2 Vaccine			9754653,23585514
TPSB2	TPSB2	64499	NCI		HEPARIN	HEPARIN	HEPARIN	CHEMBL1909300	15265919
SCN9A	584	6335	GuideToPharmacologyInteractions	gating inhibitor	5733	N-ME-AMINOPYRIMIDINONE 9			
TBXA2R	346	6915	GuideToPharmacologyInteractions	antagonist	3332	I-SAP	FELBINAC	CHEMBL413965	
MTOR	FRAP	2475	ChemblInteractions	inhibitor	CHEMBL3545323	PWT-33579	PWT-33579	CHEMBL3545323	
MAPK1	MAPK1	5594	NCI		QUINONE	QUINONE	BENZOQUINONE	CHEMBL8320	15652497
SSTR4	358	6754	GuideToPharmacologyInteractions	antagonist	7763	ANALOG 32 [PMID:18543899]			
NMUR2	299	56923	GuideToPharmacologyInteractions	agonist	1469	NEUROMEDIN U-23			
TTK	2264	7272	GuideToPharmacologyInteractions	inhibitor	9427	BAY1161909	CHEMBL54918	CHEMBL54918	
LTA4H	LTA4H	4048	NCI		ALBUMIN	ALBUMIN	ALBUMIN HUMAN	CHEMBL1201451	1314659
GABRA6	GABRA6	2559	ChemblInteractions	inverse agonist	CHEMBL2107801	RESEQUINIL	RESEQUINIL	CHEMBL2107801	
DRD4	217	1815	GuideToPharmacologyInteractions	agonist	48	PERGOLIDE	PERGOLIDE	CHEMBL531	
PKN1	PKN1	5585	MyCancerGenome	inhibitor	SOPHORETIN	SOPHORETIN	QUERCETIN	CHEMBL50	
PDE5A	1304	8654	GuideToPharmacologyInteractions	inhibitor	5270	SCH51866			
ABCC6	ABCC6	368	NCI		SALINE	SALINE	SODIUM CHLORIDE	CHEMBL1200574	17151194
HRH1	TTDS00086	3269	TTD	antagonist	DAP001347	ANTAZOLINE	ANTAZOLINE	CHEMBL1305	
ADORA1	18	134	GuideToPharmacologyInteractions	agonist	5595	BINODENOSON	BINODENOSON	CHEMBL1950554	
GSTP1	GSTP1	2950	NCI		1-BETA-D-ARABINOFURANOSYLCYTOSINE	1-BETA-D-ARABINOFURANOSYLCYTOSINE	CYTARABINE	CHEMBL803	3978635
SRC	SRC	6714	CKB		Gemcitabine	Gemcitabine	GEMCITABINE	CHEMBL888	27196758
PBRM1	PBRM1	55193	CGI		Everolimus	Everolimus	EVEROLIMUS	CHEMBL1908360	
TUBA3E	TUBA3E	112714	ChemblInteractions	inhibitor	CHEMBL378544	VINBLASTINE SULFATE	VINBLASTINE SULFATE	CHEMBL378544	
PTGS1	P23219	5742	TEND		FENOPROFEN	FENOPROFEN	FENOPROFEN	CHEMBL1297	
IL13	P35225	3596	TdgClinicalTrial		TRALOKINUMAB	TRALOKINUMAB	TRALOKINUMAB	CHEMBL1743081	
GABRA3	P34903	2556	TdgClinicalTrial		LORAZEPAM	LORAZEPAM	LORAZEPAM	CHEMBL580	
PTGS2	P35354	5743	TEND		LUMIRACOXIB	LUMIRACOXIB	LUMIRACOXIB	CHEMBL404108	
HSPA4	HSPA4	3308	NCI		IFOSFAMIDE	IFOSFAMIDE	IFOSFAMIDE	CHEMBL1024	12530536
PTEN	PTEN	5728	OncoKB		ARQ 751	ARQ 751			25673820,22261591,25544636,18594509,24658109,20166697,22588880,26469692,24823695,23769634,16647110,25398829,21325073,25177151
PLAT	PLAT	5327	NCI		RALOXIFENE	RALOXIFENE	RALOXIFENE	CHEMBL81	16167916
GABRB1	GABRB1	2560	ChemblInteractions	positive allosteric modulator	CHEMBL1521	ZALEPLON	ZALEPLON	CHEMBL1521	
CACNA1S	CACH1	779	ChemblInteractions	modulator	CHEMBL940	GABAPENTIN	GABAPENTIN	CHEMBL940	
PDGFRA	P16234	5156	TdgClinicalTrial		BECAPLERMIN	BECAPLERMIN	BECAPLERMIN	CHEMBL1201556	
FGFR2	BEK	2263	ChemblInteractions	inhibitor	CHEMBL3545421	ARQ-087	ARQ-087	CHEMBL3545421	
MAS1	MAS	4142	ChemblInteractions	agonist	CHEMBL3545347	TXA127	TXA127	CHEMBL3545347	
PSMC1	PSMC1	5700	MyCancerGenome	inhibitor	BORTEZOMIB	BORTEZOMIB	BORTEZOMIB	CHEMBL325041	
NPR2	1748	4882	GuideToPharmacologyInteractions	agonist	9066	CENDERITIDE	CENDERITIDE	CHEMBL2108721	
P2RX7	484	5027	GuideToPharmacologyInteractions	allosteric modulator	4235	KN62	MOCLOBEMIDE	CHEMBL86304	
SCN2A	579	6326	GuideToPharmacologyInteractions	gating inhibitor	2614	ATX-II			
VDR	605	7421	GuideToPharmacologyInteractions	agonist	2787	LG190178	LG-190178	CHEMBL197589	
ITGA2B	P08514	3674	TdgClinicalTrial		ABCIXIMAB	ABCIXIMAB	ABCIXIMAB	CHEMBL1201584	
CRTC2	CRTC2	200186	ClearityFoundationClinicalTrial		XL765	XL765	VOXTALISIB	CHEMBL3545366	
FLT3	1807	2322	GuideToPharmacologyInteractions	inhibitor	5972	FLT-3 INHIBITOR III	CHEMBL2218935	CHEMBL2218935	
HTR2B	7	3357	GuideToPharmacologyInteractions	antagonist	210	SARPOGRELATE	SARPOGRELATE	CHEMBL52939	
PRL	PRL	5617	NCI		ALPHA-ADRENERGIC AGONIST	ALPHA-ADRENERGIC AGONIST			2163062
AKT1	AKT1	207	ClearityFoundationBiomarkers		TRICIRIBINE	TRICIRIBINE	TRICIRIBINE	CHEMBL331237	
ALK	1839	238	GuideToPharmacologyInteractions	inhibitor	5683	GSK-1838705A	CHEMBL464552	CHEMBL464552	
ERBB4	HER4	2066	TALC	inhibitor	BMS-599626	BMS-599626	AC-480	CHEMBL1645462	
VIPR2	372	7434	GuideToPharmacologyInteractions	agonist	3293	[ARG16]CHICKEN SECRETIN			
AURKA	1936	6790	GuideToPharmacologyInteractions	inhibitor	8060	AMG-900	AMG-900	CHEMBL2140408	
CACNA1A	CACH4	773	ChemblInteractions	modulator	CHEMBL1059	PREGABALIN	PREGABALIN	CHEMBL1059	
NF2	NF2	4771	CIViC		EVEROLIMUS	EVEROLIMUS	EVEROLIMUS	CHEMBL1908360	25567352
RYR1	747	6261	GuideToPharmacologyInteractions	activator	407	CAFFEINE	CAFFEINE	CHEMBL113	
GPER1	221	2852	GuideToPharmacologyInteractions	agonist	1012	[3H]17β-ESTRADIOL			
FGF3	FGF3	2248	CIViC		SORAFENIB	SORAFENIB	SORAFENIB	CHEMBL1336	22890726
